ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
21183524373,MEFA Gel Nail Polish Set 12 Warna 7ml Semua musim koleksi Gel Polish Nail Kit Popular Nude Pink Red Glitter Gel Polish Starter Kit Soak off Nail Lamp Nail Art Manicure Set DIY Salon Home Gift for Women,"128,9RB",3RB+,MEFA Store,"13,5%",Rp16.757,https://shopee.co.id/product/886663672/21183524373,https://s.shopee.co.id/7AcNpx69T8
21976001864,Modelones Gel Nail Polish Set 6 Warna Nude Neutral Gel Polish Nude Pink Skin Tone Glitter Nail Polish Gel Starter Kit Soak Off All Season Gel Nail LED Manicure DIY Salon Gifts,"99,9RB",4RB+,Modelones,"16,5%",Rp15.984,https://shopee.co.id/product/527135967/21976001864,https://s.shopee.co.id/70Ixde6mo7
27616720612,Nail.World Nail Dryer UV LED Nail 280W 66 LED Nail Lamp Alat Pengering Kuku Nail Art,"122,6RB",10RB+, Nail.world,"7,5%",Rp8.582,https://shopee.co.id/product/1362306437/27616720612,https://s.shopee.co.id/7VFEEZ4snE
7548704169,Pengering Kutek Lampu UV LED Nail Dryer 280W 66 LED - Biutte SUN X11 MAX,"69,8RB",10RB+,Watch Expert,3%,Rp2.094,https://shopee.co.id/product/155050021/7548704169,https://s.shopee.co.id/7Kvo2G5W8D
25211466741,KAIKKI Alat Pengering Kutek Kuku Gel Nail Art Lamp 45LED UV LED Nail Dryer 150W SUN X5 Max,"99,9RB",7RB+,Kaikki Official Shop,"6,5%",Rp5.994,https://shopee.co.id/product/895329105/25211466741,https://s.shopee.co.id/7ps4dB3c7K
25077255815,BORN PRETTY Handheld UV Light for Gel Nails Mini Nail Light Portable LED Nail Lamp Cordless Rechargeable USB Nail Dryer,"119,0RB",6RB+,BORN PRETTY Official Store,"5,5%",Rp5.950,https://shopee.co.id/product/1035259013/25077255815,https://s.shopee.co.id/7fYeQs4FSJ
42614908065,Hexagonal Portable UV Lamp Uv Led Nail Portable Lampu Nail Art 9 Watt Nail Art Lamp Cepat Kering Lampu Fototerapi Aksesori Manikur Seni Kuku,"16,2RB",6RB+,ZHELLY Official Store,"11,5%",Rp1.782,https://shopee.co.id/product/870603507/42614908065,https://s.shopee.co.id/5VU9qtCUqu
10118017297,Press On Nails Wedding Nude Ivory | Kuku Palsu Akad Nikah | Free Lem & Toolkit | Nail by Aisha,"97,0RB",6RB+,Nail by Aisha,"11,5%",Rp10.670,https://shopee.co.id/product/23124133/10118017297,https://s.shopee.co.id/5LAjeaD8Bt
41278989220,[Quillsnitch] Premium Handmade Press On Nails,"48,9RB",6RB+,Quillsnitch,5%,Rp2.444,https://shopee.co.id/product/1082294800/41278989220,https://s.shopee.co.id/5q70FVBEB0
43755649480,Kuku Palsu Korean Cat Eye Gopekceng Mix Bunga Premium Gratis Lem Gel & Toolkit | Press On Nails Handmade | Kuku Palsu Murah | Custom Warna/ Size,"31,9RB",3RB+,LeonyNail_Art,"13,5%",Rp4.143,https://shopee.co.id/product/716609317/43755649480,https://s.shopee.co.id/5fna3CBrVz
26216813630,JovyArt | READY STOCK‼️ Glass Cat Eye - Handmade Press on Nails | Press on nails | kuku palsu | fake nails | press on nails custom | kuku palsu + lem | instant sameday nextday | glass bead cat eye | silk cat eye | water cat eye,"61,2RB",2RB+,JovyArt,"12,5%",Rp7.344,https://shopee.co.id/product/68371429/26216813630,https://s.shopee.co.id/6Ajqe79xV6
45613171697,Press On Nails BTS Arirang Red Black | Kuku Palsu Handmade Luxury Look Free Lem Toolkit,"128,0RB",12,Nail by Aisha,"11,5%",Rp14.080,https://shopee.co.id/product/23124133/45613171697,https://s.shopee.co.id/60QQRoAaq5
58155491780,Press On Nails Handmade Wedding Series | Kupal Marble Free Lem | Custom Size | Kuku Palsu Premium,"15,8RB",10RB+,Telulasnails,"17,5%",Rp2.678,https://shopee.co.id/product/398570735/58155491780,https://s.shopee.co.id/6VMh2j8gpC
21073149990,Press On Nails Handmade Ivory Champagne Flower Pearl | Kuku Palsu Reusable Luxury Look Free Lem & Toolkit,"88,0RB",238,Nail by Aisha,"11,5%",Rp9.680,https://shopee.co.id/product/23124133/21073149990,https://s.shopee.co.id/6L3GqQ9KAB
28005455384,Press On Nails Merah Unik Gratis Lem Kuku,"27,5RB",10RB+,Henna tempel,17%,Rp4.675,https://shopee.co.id/product/406639723/28005455384,https://s.shopee.co.id/4AymGRHZYm
24909114020,Set 7in1 alat pembersih kutek gel / Paket Remover Nail polish gel,"49,9RB",7RB+,Nailart.Queen,"11,5%",Rp5.489,https://shopee.co.id/product/75561401/24909114020,https://s.shopee.co.id/40fM48ICtl
